date,open,high,low,adjClose,value,volume,count,yesterday,close
2019-07-13 00:00:00,6858.587242510942,6858.587242510942,6858.587242510942,6858.587242510942,9731850000000,311419200,581693,219.47479176035012,6858.587242510942
2019-07-14 00:00:00,7201.406867240609,7201.406867240609,7201.406867240609,7201.406867240609,14252351568,434364,1254,6858.587242510942,7201.406867240609
2019-07-15 00:00:00,7561.345525727584,7561.345525727584,7561.345525727584,7561.345525727584,32882297976,954438,2491,7201.406867240609,7561.345525727584
2019-07-16 00:00:00,7939.281117138906,7939.281117138906,7183.409934316261,7938.183743180104,3050475936375,84339091,174190,7561.345525727584,7939.281117138906
2019-07-17 00:00:00,7970.227062777116,8334.994166682818,7541.373319677391,8138.344753265544,1094771498693,29523727,59994,7938.183743180104,8241.49790539291
2019-07-20 00:00:00,8318.09460771727,8340.042086893305,8120.786769924715,8265.201182903025,1405251744850,37314859,95999,8138.344753265544,8308.218242088054
2019-07-27 00:00:00,8923.308443559094,9150.635296595066,8679.270281606823,8906.066616899421,999484183045,29768929,52863,8265.201182903025,8936.571387143456
2019-07-28 00:00:00,8925.695773404279,8925.961032275965,8541.866186072828,8699.695214726742,669969109740,20427597,46503,8906.066616899421,8727.016878510529
2019-07-29 00:00:00,8559.903789347562,8753.542765679253,8488.54915286369,8595.978995897027,392085589846,12099255,26025,8699.695214726742,8700.75625021349
2019-07-30 00:00:00,8626.218507269374,8885.90694265119,8626.218507269374,8784.047535923288,265438642538,8015598,16193,8595.978995897027,8836.038274773988
2019-07-31 00:00:00,8835.773015902301,9223.050968565683,8835.773015902301,9153.553144183628,433318147055,12556920,20337,8784.047535923288,9223.050968565683
2019-08-03 00:00:00,9284.060509053754,9546.401533152444,9223.050968565683,9371.330677838858,371914747558,10527198,18452,9153.553144183628,9340.29538985145
2019-08-04 00:00:00,9372.391713325607,9374.248525427418,9071.853411703953,9218.80682661869,419814686098,12079759,19529,9371.330677838858,9175.30437166198
2019-08-05 00:00:00,9151.431073210128,9151.431073210128,8954.078472674813,9005.53869378214,325116546736,9576325,16890,9218.80682661869,9063.895645553335
2019-08-06 00:00:00,8935.245092785019,9124.639927169716,8840.017157849297,8916.942230638599,263777992145,7846883,15499,9005.53869378214,8992.275750197778
2019-08-07 00:00:00,8886.96797813794,8979.012806613417,8836.834051389049,8865.482009531273,196227584216,5871238,14651,8916.942230638599,8851.953807075222
2019-08-10 00:00:00,8832.324650570366,8832.324650570366,8713.753934926166,8733.64835030271,243878528996,7407129,23283,8865.482009531273,8785.373830281724
2019-08-11 00:00:00,8727.016878510529,9018.536378494817,8697.838402624931,8850.892771588475,158974542694,4764456,10903,8733.64835030271,8912.698088691603
2019-08-13 00:00:00,8851.688548203536,8859.381055482467,8753.542765679253,8779.538135104603,181876010319,5495102,11005,8850.892771588475,8785.108571410035
2019-08-14 00:00:00,8768.39726249374,8939.754493603703,8768.132003622051,8836.568792517362,194380328473,5834904,10702,8779.538135104603,8867.60408050477
